#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B	UniProt Accessions	Biogrid Database	FT	DNA binding	Repressor activity	WD40 Interaction	Mean LIS TBL1R	Mean cLIS TBL1R	Mean LIS TBL1	Mean cLIS TBL1	Mean LIS	Mean cLIS
260783	23118	6907	116740	112770	RP1-111D6.3	-	TAB2	TBL1X	CHTD2|MAP3K7IP2|TAB-2	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Baek SH (2002)	PUBMED:12150997	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NYJ8	B4DIR9	NP_001278964|NP_055908|NP_001356435|NP_001278963	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260900	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260901	8841	6907	114368	112770	-	-	HDAC3	TBL1X	HD3|RPD3|RPD3-2	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15379	-	NP_003874	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260904	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260908	8841	6907	114368	112770	-	-	HDAC3	TBL1X	HD3|RPD3|RPD3-2	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15379	-	NP_003874	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260912	10014	6907	115331	112770	-	-	HDAC5	TBL1X	HD5|NY-CO-9	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UQL6	-	NP_005465|NP_001369322|NP_001015053	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260915	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Co-fractionation	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260920	2874	6907	109132	112770	-	-	GPS2	TBL1X	AMF-1	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13227	-	NP_004480	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260922	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260924	2874	6907	109132	112770	-	-	GPS2	TBL1X	AMF-1	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q13227	-	NP_004480	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260925	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260926	6907	2874	112770	109132	-	-	TBL1X	GPS2	EBI|SMAP55|TBL1	AMF-1	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q13227	-	NP_004480	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260927	6907	8841	112770	114368	-	-	TBL1X	HDAC3	EBI|SMAP55|TBL1	HD3|RPD3|RPD3-2	Affinity Capture-Western	physical	Zhang J (2002)	PUBMED:11931768	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O15379	-	NP_003874	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
260962	6907	9612	112770	114974	-	-	TBL1X	NCOR2	EBI|SMAP55|TBL1	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Affinity Capture-Western	physical	Guenther MG (2002)	PUBMED:12502735	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262388	9612	6907	114974	112770	-	-	NCOR2	TBL1X	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	EBI|SMAP55|TBL1	Co-purification	physical	Li J (2000)	PUBMED:10944117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262389	9612	6907	114974	112770	-	-	NCOR2	TBL1X	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	EBI|SMAP55|TBL1	Co-fractionation	physical	Li J (2000)	PUBMED:10944117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262392	6907	9612	112770	114974	-	-	TBL1X	NCOR2	EBI|SMAP55|TBL1	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Affinity Capture-Western	physical	Li J (2000)	PUBMED:10944117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262393	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Affinity Capture-Western	physical	Li J (2000)	PUBMED:10944117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262395	9611	6907	114973	112770	-	-	NCOR1	TBL1X	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Li J (2000)	PUBMED:10944117	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262606	6907	9612	112770	114974	-	-	TBL1X	NCOR2	EBI|SMAP55|TBL1	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Affinity Capture-Western	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262608	8841	6907	114368	112770	-	-	HDAC3	TBL1X	HD3|RPD3|RPD3-2	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15379	-	NP_003874	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262610	9612	6907	114974	112770	-	-	NCOR2	TBL1X	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262611	6907	9612	112770	114974	-	-	TBL1X	NCOR2	EBI|SMAP55|TBL1	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Reconstituted Complex	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9Y618	C9JFD3|C9J0Q5|C9JE98	NP_001070729|NP_006303|NP_001193583	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262612	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Reconstituted Complex	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	Both proteins purified.	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262613	6907	8841	112770	114368	-	-	TBL1X	HDAC3	EBI|SMAP55|TBL1	HD3|RPD3|RPD3-2	Reconstituted Complex	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	Both proteins purified.Requires presence of SMRT.	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O15379	-	NP_003874	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
262614	7068	6907	112924	112770	-	-	THRB	TBL1X	C-ERBA-2|C-ERBA-BETA|ERBA2|GRTH|NR1A2|PRTH|THR1|THRB1|THRB2	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Guenther MG (2000)	PUBMED:10809664	9606	9606	Low Throughput	-	-	Both proteins purified.Requires presence of smrt.	-	BIOGRID	P10828	F1D8N7	NP_001239563|NP_001121648|NP_001121649|NP_000452	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	P37242	TBL1X/TBL1XR1	True	True	True	False	0.058	0.068	0.0685	0.07	0.06325	0.069
289144	6907	27101	112770	118001	-	PNAS-107	TBL1X	CACYBP	EBI|SMAP55|TBL1	GIG5|S100A6BP|SIP	Affinity Capture-Western	physical	Matsuzawa SI (2001)	PUBMED:11389839	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9HB71	A0A024R904	NP_055227|NP_001007215	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
289145	6907	6500	112770	112391	-	-	TBL1X	SKP1	EBI|SMAP55|TBL1	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A	Affinity Capture-Western	physical	Matsuzawa SI (2001)	PUBMED:11389839	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	P63208	-	NP_733779|NP_008861	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
289146	6907	6477	112770	112372	-	-	TBL1X	SIAH1	EBI|SMAP55|TBL1	SIAH1A	Affinity Capture-Western	physical	Matsuzawa SI (2001)	PUBMED:11389839	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q8IUQ4	-	NP_001006611|NP_003022	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
289147	6907	1499	112770	107880	-	OK/SW-cl.35	TBL1X	CTNNB1	EBI|SMAP55|TBL1	CTNNB|MRD19|armadillo	Affinity Capture-Western	physical	Matsuzawa SI (2001)	PUBMED:11389839	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	P35222	B4DGU4|A0A024R2Q3	NP_001091680|NP_001091679|NP_001895|NP_001317658	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
329798	6907	1487	112770	107869	-	-	TBL1X	CTBP1	EBI|SMAP55|TBL1	BARS	Affinity Capture-Western	physical	Perissi V (2008)	PUBMED:18374649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q13363	X5D8Y5	NP_001319|NP_001012632|NP_001364119|NP_001364118|NP_001364122|NP_001364120|NP_001364121|NP_001364117|NP_001364116|NP_001364115	-	-	-	-	-	-	Homo sapiens	Homo sapiens	O88712	TBL1X/TBL1XR1	True	True	True	True	0.106	0.054	0.1115	0.05	0.10875	0.052
329800	6907	79718	112770	122834	-	-	TBL1X	TBL1XR1	EBI|SMAP55|TBL1	C21|DC42|IRA1|TBLR1	Affinity Capture-Western	physical	Perissi V (2008)	PUBMED:18374649	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
463608	25942	6907	117439	112770	-	-	SIN3A	TBL1X	-	EBI|SMAP55|TBL1	Affinity Capture-Western	physical	Farhana L (2007)	PUBMED:17210713	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96ST3	-	NP_056292|NP_001138829|NP_001138830	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
469063	6907	55806	112770	120917	-	-	TBL1X	HR	EBI|SMAP55|TBL1	ALUNC|AU|HSA277165|HYPT4|MUHH|MUHH1	Two-hybrid	physical	Ravasi T (2010)	PUBMED:20211142	9606	9606	High Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O43593	-	NP_005135|NP_060881	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
506595	6907	79718	112770	122834	-	-	TBL1X	TBL1XR1	EBI|SMAP55|TBL1	C21|DC42|IRA1|TBLR1	Reconstituted Complex	physical	Choi HK (2008)	PUBMED:18202150	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q9BZK7	-	NP_078941|NP_001308124|NP_001308122|NP_001308123|NP_001361257|NP_001361256|NP_001361259|NP_001361258	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
506596	6907	9611	112770	114973	-	-	TBL1X	NCOR1	EBI|SMAP55|TBL1	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	Affinity Capture-Western	physical	Choi HK (2008)	PUBMED:18202150	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O75376	Q6PGR4|A0A024RD47	NP_001177367|NP_006302|NP_001177369	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
506597	6907	8841	112770	114368	-	-	TBL1X	HDAC3	EBI|SMAP55|TBL1	HD3|RPD3|RPD3-2	Affinity Capture-Western	physical	Choi HK (2008)	PUBMED:18202150	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	O15379	-	NP_003874	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
506601	6907	10477	112770	115740	-	-	TBL1X	UBE2E3	EBI|SMAP55|TBL1	UBCH9|UbcM2	Affinity Capture-Western	physical	Choi HK (2008)	PUBMED:18202150	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	Q969T4	-	NP_872619|NP_001265483|NP_001265484|NP_006348	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
530527	2010	6907	108325	112770	XX-FW88778H2.1	-	EMD	TBL1X	EDMD|LEMD5|STA	EBI|SMAP55|TBL1	Affinity Capture-MS	physical	Holaska JM (2007)	PUBMED:17620012	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P50402	-	NP_000108	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
530541	6907	2010	112770	108325	-	XX-FW88778H2.1	TBL1X	EMD	EBI|SMAP55|TBL1	EDMD|LEMD5|STA	Affinity Capture-Western	physical	Holaska JM (2007)	PUBMED:17620012	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	P50402	-	NP_000108	-	-	-	-	-	-	Homo sapiens	Homo sapiens												
533908	7067	6907	112923	112770	-	-	THRA	TBL1X	AR7|CHNG6|EAR7|ERB-T-1|ERBA|ERBA1|NR1A1|THRA1|THRA2|c-ERBA-1	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Jeyakumar M (2007)	PUBMED:17242407	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10827	Q6FH41	NP_001177848|NP_001177847|NP_955366|NP_003241	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	P63058	TBL1X/TBL1XR1	True	True	True	False	0.0	0.0	0.0	0.0	0.0	0.0
533910	7068	6907	112924	112770	-	-	THRB	TBL1X	C-ERBA-2|C-ERBA-BETA|ERBA2|GRTH|NR1A2|PRTH|THR1|THRB1|THRB2	EBI|SMAP55|TBL1	Reconstituted Complex	physical	Jeyakumar M (2007)	PUBMED:17242407	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P10828	F1D8N7	NP_001239563|NP_001121648|NP_001121649|NP_000452	O60907	A0A024RBV9	NP_001132940|NP_001132938|NP_005638|NP_001132939	-	-	-	-	-	-	Homo sapiens	Homo sapiens	P37242	TBL1X/TBL1XR1	True	True	True	False	0.058	0.068	0.0685	0.07	0.06325	0.069
